COD_PROV,DES_PROV,COD_MUNI,DES_MUNI,COD_DM,DES_DM,COD_SECC,DES_SECC,COD_BP,DES_BP,ICV_1,ICV_2,ICV_3,ICV_4,NO_CAT,P_ICV1Y2
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,004,LOS CALLEJONES,17,27,6,2,3,80
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,05,HIGÜERO,002,CAJUILITO,32,166,152,45,55,44
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,03,SIERRA PRIETA,001,SIERRA PRIETA,38,97,21,8,31,69.23
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,02,LICEY,002,MANCEBO,18,27,2,0,17,70.31
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,003,LA JOYA O LOS GOYA,1,0,0,0,9,10
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,006,AMOR A DIOS,29,116,63,3,32,59.67
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,005,LOS MAMEYES,41,77,3,0,18,84.89
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,001,LA JAGUA,1,4,4,2,0,45.45
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,009,RINCÓN,25,69,3,0,20,80.34
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,06,LA JAGUA,002,LOMA DE MATEO,0,1,0,0,0,100
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,03,SIERRA PRIETA,002,LOS VIZCAÍNO,55,40,2,0,13,86.36
32,SANTO DOMINGO,03,SANTO DOMINGO NORTE,01,SANTO DOMINGO NORTE,03,SIERRA PRIETA,004,HOYOS OSCUROS,23,55,3,0,15,81.25
