estacion,anio,trafico_total
6 de Noviembre,2021,6294669
6 de Noviembre,2022,6866209
6 de Noviembre,2023,6720935
6 de Noviembre,2024,6708384
6 de Noviembre,2025,6533064
6 de Noviembre,2026,3929736
Bani,2025,1104508
Bani,2026,1632694
Catey,2022,523691
Catey,2023,523771
Catey,2024,594305
Catey,2025,659312
Catey,2026,402759
Circunv.Azua,2025,2112030
Circunv.Azua,2026,1413155
Coral 1,2021,4420144
Coral 1,2022,5328640
Coral 1,2023,5723259
Coral 1,2024,6325467
Coral 1,2025,6789429
Coral 1,2026,3759447
Coral 2,2021,3604288
Coral 2,2022,4522894
Coral 2,2023,5066864
Coral 2,2024,5789458
Coral 2,2025,6395471
Coral 2,2026,3704259
Duarte,2021,6832338
Duarte,2022,7305440
Duarte,2023,7466065
Duarte,2024,7643790
Duarte,2025,11640286
Duarte,2026,7938595
Ecologica,2025,1733039
Ecologica,2026,2153112
Guaraguao,2022,1556960
Guaraguao,2023,1574645
Guaraguao,2024,1702446
Guaraguao,2025,1946525
Guaraguao,2026,1057087
Las Américas,2021,10014439
Las Américas,2022,11110568
Las Américas,2023,11637111
Las Américas,2024,12168307
Las Américas,2025,11633635
Las Américas,2026,6077694
Marbella,2022,4028729
Marbella,2023,2961506
Marbella,2024,3361677
Marbella,2025,2699430
Marbella,2026,1081758
Naranjal,2022,2276668
Naranjal,2023,2299035
Naranjal,2024,2790724
Naranjal,2025,3006132
Naranjal,2026,1676103
Romana,2021,3721592
Romana,2022,4500060
Romana,2023,4392382
Romana,2024,4153736
Romana,2025,5587790
Romana,2026,3488869
Sanchez,2021,6704403
Sanchez,2022,7164244
Sanchez,2023,7266638
Sanchez,2024,7720365
Sanchez,2025,7191311
Sanchez,2026,3837632
Santiago,2021,3233040
Santiago,2022,3486345
Santiago,2023,3314154
Santiago,2024,4131517
Santiago,2025,4298739
Santiago,2026,2292113
Tramo 1,2021,5151141
Tramo 1,2022,5834154
Tramo 1,2023,6330646
Tramo 1,2024,6646911
Tramo 1,2025,7246725
Tramo 1,2026,4410719
Tramo 2,2021,4425657
Tramo 2,2022,5100040
Tramo 2,2023,5783052
Tramo 2,2024,6684524
Tramo 2,2025,7091853
Tramo 2,2026,3998880
Tramo 2B,2021,2688422
Tramo 2B,2022,2950171
Tramo 2B,2023,3579907
Tramo 2B,2024,4768301
Tramo 2B,2025,5184253
Tramo 2B,2026,3199667
