actividad_economica,contribuyentes_activos
"SERVICIOS INMOBILIARIOS REALIZADOS A CAMBIO DE UNA RETRIB. O POR CONTRATA (INCL. COMPRA, VENTA, ALQUILER, REMATE, TASACIÓN, ADM DE",21420
SERVICIOS RELACIONADOS CON LA SALUD HUMANA N.C.P.,16853
SERVICIOS DE ASOCIACIONES N.C.P.,12352
CONSTR. REFORMA Y REPARACIÓN DE EDIFICIOS RESIDENCIALES (INCL. CONSTRUC. REFORMA Y REPARACIÓN DE VIVIENDAS UNIFAMILIARES Y MULTIFA,10527
SERVICIOS JURÍDICOS,8469
COLMADOS,6992
"SERV. PARA LA REGULACIÓN DE LAS ACTIV. SANIT., EDUC., CULT., Y RESTANTES SERV. SOC., EXCEPTO SEGUR. SOCIAL OBLIGATORIA (INCL. LA GESTIÓN ADM DE PROG. DESTIN. A MEJORAR EL BIENESTAR DE LOS CIUDADANOS)",6956
"SERVICIOS DE CONTABILIDAD Y TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL",6475
SERVICIOS DE INGENIEROS CIVILES,6274
SERVICIOS DE PUBLICIDAD,6082
"SERVICIOS DE ASESORAMIENTO, DIRECCIÓN Y GESTIÓN EMPRESARIAL N.C.P.",5928
"OBRAS DE INGENIERÍA CIVIL N.C.P. (INCL. LOS TRABAJOS GRALES. DE CONSTRUC. PARA LA MINERÍA Y LA INDUSTRIA, DE CENTRALES ELÉCTRICAS",4748
SOCIEDADES DE INVERSIÓN,4670
SERVICIOS DE PELUQUERÍA,4624
"VENTA DE VEHÍCULOS AUTOMOTORES, NUEVOS N.C.P. (INCL. CASAS RODANTES, TRAILERS, COMIONES, REMOLQUES AMBULANCIAS, ÓMNIBUS, MICROBUSE",4583
SERVICIOS DE ARQUITECTURA E INGENIERÍA Y SERVICIOS CONEXOS DE ASESORAMIENTO TÉCNICO N.C.P.,4191
SERVICIOS ODONTOLÓGICOS,4077
CONDOMINIOS,3386
"SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA, CON BIENES PROPIOS O ARRENDADOS N.C.P.",3296
VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS,3031
SERVICIOS PERSONALES EN GENERAL,2932
